Id;SurveyItem;OptionLabel;SubSuveyItem
3732;372;"4";0
3742;373;"4";0
5381;388;"4";0
5388;395;"4";0
5409;387;"4";0
5917;323;"4";0
5927;322;"4";0
5957;275;"4";0
6019;394;"4";0
6079;332;"4";0
6089;277;"4";0
6099;203;"4";0
6119;230;"4";0
6132;264;"4";0
6152;271;"4";0
6162;272;"4";0
6177;225;"4";0
6187;389;"4";0
6202;438;"4";0
6208;439;"4";0
6214;441;"4";0
6220;442;"4";0
6226;443;"4";0
6232;444;"4";0
6238;445;"4";0
6244;446;"4";0
6250;447;"4";0
6256;448;"4";0
6262;449;"4";0
6268;450;"4";0
6274;451;"4";0
6280;452;"4";0
6286;453;"4";0
6292;454;"4";0
6298;455;"4";0
6304;456;"4";0
6310;457;"4";0
6316;458;"4";0
6322;459;"4";0
6328;460;"4";0
6334;461;"4";0
6340;462;"4";0
6346;463;"4";0
6352;464;"4";0
6358;465;"4";0
6364;466;"4";0
6370;467;"4";0
6376;468;"4";0
6382;469;"4";0
6388;470;"4";0
6394;471;"4";0
6400;472;"4";0
6406;473;"4";0
6412;474;"4";0
6418;475;"4";0
6424;477;"4";0
6430;478;"4";0
6436;479;"4";0
6442;480;"4";0
6448;481;"4";0
6454;482;"4";0
6460;483;"4";0
6466;484;"4";0
6472;485;"4";0
6478;486;"4";0
6484;487;"4";0
6490;488;"4";0
6496;489;"4";0
6502;490;"4";0
6508;491;"4";0
6514;492;"4";0
6520;493;"4";0
6526;494;"4";0
6532;495;"4";0
6538;496;"4";0
6544;497;"4";0
6550;498;"4";0
6556;499;"4";0
6562;500;"4";0
6568;501;"4";0
6574;502;"4";0
6580;503;"4";0
6586;504;"4";0
6592;505;"4";0
6598;506;"4";0
6604;507;"4";0
6610;508;"4";0
6616;509;"4";0
6622;510;"4";0
6628;511;"4";0
6634;512;"4";0
6640;513;"4";0
6646;514;"4";0
6652;515;"4";0
6658;516;"4";0
6664;517;"4";0
6670;518;"4";0
6676;519;"4";0
6682;520;"4";0
6688;521;"4";0
6694;522;"4";0
6700;523;"4";0
6706;524;"4";0
6712;525;"4";0
6718;526;"4";0
6724;527;"4";0
6730;528;"4";0
6741;333;"4";0
6751;324;"4";0
3733;372;"3";0
3743;373;"3";0
5382;388;"3";0
5387;395;"3";0
5410;387;"3";0
5918;323;"3";0
5928;322;"3";0
5958;275;"3";0
6018;394;"3";0
6080;332;"3";0
6090;277;"3";0
6100;203;"3";0
6120;230;"3";0
6133;264;"3";0
6153;271;"3";0
6163;272;"3";0
6178;225;"3";0
6188;389;"3";0
6203;438;"3";0
6209;439;"3";0
6215;441;"3";0
6221;442;"3";0
6227;443;"3";0
6233;444;"3";0
6239;445;"3";0
6245;446;"3";0
6251;447;"3";0
6257;448;"3";0
6263;449;"3";0
6269;450;"3";0
6275;451;"3";0
